recid,radate,assignmt,site,training,afdc,sex,class_tr,ojt_jsa,oth_serv,bdate,age,earnings,prevearn,married,pbhous,hsorged,black,hispanic,f2sms,wkless13,newern01,newern02,newern03,newern04,newern05,newern06,newern07,newern08,newern09,newern10,newern11,newern12,newern13,newern14,newern15,newern16,newern17,newern18,newern19,newern20,newern21,newern22,newern23,newern24,newern25,newern26,newern27,newern28,newern29,newern30,bifrsp,employed_01,employed_02,employed_03,employed_04,employed_05,employed_06,employed_07,employed_08,employed_09,employed_10,employed_11,employed_12,employed_13,employed_14,employed_15,employed_16,employed_17,employed_18,employed_19,employed_20,employed_21,employed_22,employed_23,employed_24,employed_25,employed_26,employed_27,employed_28,employed_29,employed_30,frac_months_employed,outcome,bfeduca,reasonsa,reasonsb,reasonsc,reject
309957,03/23/88,0,CV,0,1,0,0,1,0,10/04/62,25,1803,1253,0,1,0,1,0,0,0,307,307,307,0,0,0,0,0,0,49,49,49,0,0,0,0,0,0,124,124,124,121,121,121,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,.40000001,0,10,Not Chosen,Control,No Other,Did not reject
309960,06/13/88,1,SM,1,0,1,0,1,0,08/24/65,22,6420,7000,0,0,0,0,0,1,0,997,997,997,963,963,963,180,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.30000001,0,11,Missing,Missing,Missing,Did not reject
309961,04/05/89,0,IN,0,0,1,0,1,0,02/18/53,36,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Family Prob,No Other,Missing,Did not reject
309963,10/06/88,1,IN,0,0,1,0,1,0,04/10/50,38,15019,4000,0,0,1,0,0,0,1,266,266,881,881,881,822,822,822,747,747,747,806,806,806,581,581,581,510,510,510,338,338,338,144,144,144,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,.86666667,1,12,Missing,Missing,Missing,Did not reject
309964,02/24/89,1,PR,1,0,0,0,0,1,11/20/59,29,885,0,0,.11530664,0,1,0,0,1,0,0,0,0,0,0,0,69,69,69,182,182,182,44,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.30000001,0,11,Missing,Missing,Missing,Did not reject
309965,10/07/88,1,HF,1,0,0,1,0,0,11/17/62,25,12406,5000,0,0,0,0,0,1,0,130,130,1139,1139,1139,2039,2039,2039,0,0,0,0,0,0,0,0,0,33,33,33,14,14,14,0,0,0,678,678,678,437,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,.60000002,1,08,Missing,Missing,Missing,Did not reject
309967,09/26/88,1,CI,1,0,0,1,0,0,05/07/66,22,0,7900,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Missing,Missing,Missing,Did not reject
309969,04/14/89,0,IN,0,0,0,0,1,0,07/30/59,29,27130,2500,1,0,1,0,1,0,0,727,727,814,814,814,737,737,737,232,232,232,865,865,865,1025,1025,1025,1219,1219,1219,1024,1024,1024,1228,1228,1228,1061,1061,1061,1061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,Missing,Missing,Missing,Did not reject
309973,04/25/89,1,NE,1,0,0,1,0,0,07/14/55,33,28628,0,1,1,1,1,0,0,1,0,0,552,552,552,974,974,974,498,498,498,1483,1483,1483,1169,1169,1169,1271,1271,1271,1216,1216,1216,1333,1333,1333,785,785,785,785,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.93333334,1,12,Took Job,Missing,Missing,Did not reject
309975,10/13/88,0,LC,0,0,1,0,1,0,03/17/50,38,920,955,0,0,1,0,0,1,1,463,0,0,0,0,0,0,257,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1,0,12,Control,No Other,Missing,Did not reject
